episode,shaped_reward,success,steps
941,-10.59000000,0,60
942,-10.06000000,0,7
943,-10.66000000,0,67
944,-10.42000000,0,43
945,-11.12000000,0,113
946,-11.16000000,0,117
947,-10.67000000,0,68
948,-10.22000000,0,23
949,-10.87000000,0,88
950,-10.37000000,0,38
951,-10.25000000,0,26
952,-10.20000000,0,21
953,-10.36000000,0,37
954,-10.22000000,0,23
955,-10.15000000,0,16
956,-10.09000000,0,10
957,-10.69000000,0,70
958,-10.23000000,0,24
959,-10.32000000,0,33
960,-10.45000000,0,46
961,-10.11000000,0,12
962,-10.22000000,0,23
963,-10.48000000,0,49
964,-10.18000000,0,19
965,-10.29000000,0,30
966,-10.30000000,0,31
967,-10.35000000,0,36
968,-10.24000000,0,25
969,-10.31000000,0,32
970,-10.13000000,0,14
971,-10.04000000,0,5
972,-10.04000000,0,5
973,-10.20000000,0,21
974,-10.26000000,0,27
975,-10.09000000,0,10
976,-10.36000000,0,37
977,-10.07000000,0,8
978,-10.52000000,0,53
979,-11.03000000,0,104
980,-10.15000000,0,16
981,-10.23000000,0,24
982,-10.29000000,0,30
983,-10.27000000,0,28
984,-10.31000000,0,32
985,-10.25000000,0,26
986,-10.04000000,0,5
987,-10.15000000,0,16
988,-11.94000000,0,195
989,-10.32000000,0,33
990,-11.25000000,0,126
991,-10.14000000,0,15
992,-10.26000000,0,27
993,-10.23000000,0,24
994,-10.56000000,0,57
995,-10.14000000,0,15
996,-10.33000000,0,34
997,-10.80000000,0,81
998,-10.14000000,0,15
999,-10.17000000,0,18
1000,-10.11000000,0,12
1001,-10.32000000,0,33
1002,-10.63000000,0,64
1003,-10.63000000,0,64
1004,-10.68000000,0,69
1005,-10.23000000,0,24
1006,-10.58000000,0,59
1007,-10.63000000,0,64
1008,-10.24000000,0,25
1009,-10.07000000,0,8
1010,-10.13000000,0,14
1011,-10.10000000,0,11
1012,-11.10000000,0,111
1013,-10.09000000,0,10
1014,-10.25000000,0,26
1015,-10.20000000,0,21
1016,-10.25000000,0,26
1017,-10.10000000,0,11
1018,-10.18000000,0,19
1019,-10.22000000,0,23
1020,-10.32000000,0,33
1021,-10.16000000,0,17
1022,-10.62000000,0,63
1023,-10.49000000,0,50
1024,-10.05000000,0,6
1025,-10.71000000,0,72
1026,-10.27000000,0,28
1027,-10.40000000,0,41
1028,-10.24000000,0,25
1029,-10.18000000,0,19
1030,-10.31000000,0,32
1031,-10.07000000,0,8
1032,-10.18000000,0,19
1033,-10.23000000,0,24
1034,-10.19000000,0,20
1035,-10.19000000,0,20
1036,-10.26000000,0,27
1037,-10.51000000,0,52
1038,-10.60000000,0,61
1039,-10.09000000,0,10
1040,-10.66000000,0,67
1041,-10.22000000,0,23
1042,-10.41000000,0,42
1043,-10.04000000,0,5
1044,-10.03000000,0,4
1045,-10.20000000,0,21
1046,-10.10000000,0,11
1047,-10.17000000,0,18
1048,-12.16000000,0,217
1049,-10.66000000,0,67
1050,-10.22000000,0,23
1051,-10.10000000,0,11
1052,-10.07000000,0,8
1053,-10.09000000,0,10
1054,-10.20000000,0,21
1055,-10.12000000,0,13
1056,-10.10000000,0,11
1057,-10.89000000,0,90
1058,-10.20000000,0,21
1059,-10.27000000,0,28
1060,-10.17000000,0,18
1061,-10.27000000,0,28
1062,-10.51000000,0,52
1063,-10.29000000,0,30
1064,-10.13000000,0,14
1065,-10.10000000,0,11
